Pipeline Runner
  Submission:  submissions/arcf_prover
  Problems:    100
  Config:      timeout=3600s, max_output_tokens=65536
  LLM:         openai/gpt-oss-120b (provider: deepinfra/bf16)
  Output:      analysis/private_adversarial_results_telemetry_enabled.json

[1/100] padv_argument_erasure_context_bridge_true_2074_2082_positive_0001: Equation970002 -> Equation970003 -> SOLVED (true) in 12.2s [llm:0, judge:1]
[2/100] padv_argument_erasure_context_bridge_true_2074_2082_positive_0002: Equation970004 -> Equation970005 -> FAILED in 9.4s [llm:0, judge:0]
[3/100] padv_argument_erasure_context_bridge_true_2074_2082_positive_0003: Equation970006 -> Equation970007 -> SOLVED (true) in 9.5s [llm:0, judge:1]
[4/100] padv_argument_erasure_context_bridge_true_2074_2082_boundary_0004: Equation970008 -> Equation970009 -> FAILED in 26.0s [llm:0, judge:0]
[5/100] padv_argument_erasure_context_bridge_true_2074_2082_boundary_0005: Equation970010 -> Equation970011 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[6/100] padv_argument_erasure_context_bridge_true_2074_2082_boundary_0006: Equation970012 -> Equation970013 -> FAILED in 5.7s [llm:0, judge:0]
[7/100] padv_argument_erasure_context_bridge_true_2074_2082_boundary_0007: Equation970014 -> Equation970015 -> FAILED in 6.6s [llm:0, judge:0]
[8/100] padv_argument_erasure_context_bridge_true_2074_2082_boundary_0008: Equation970016 -> Equation970017 -> SOLVED (false) in 3.5s [llm:0, judge:1]
[9/100] padv_argument_erasure_context_bridge_true_2074_2082_negative_0009: Equation970018 -> Equation970019 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[10/100] padv_argument_erasure_context_bridge_true_2074_2082_negative_0010: Equation970020 -> Equation970021 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[11/100] padv_argument_erasure_context_bridge_true_2074_2082_negative_0011: Equation970022 -> Equation970023 -> FAILED in 8.1s [llm:0, judge:0]
[12/100] padv_argument_erasure_context_bridge_true_2074_2082_mixed_0012: Equation970024 -> Equation970025 -> FAILED in 5.6s [llm:0, judge:0]
[13/100] padv_argument_erasure_context_bridge_true_2074_2082_mixed_0013: Equation970026 -> Equation970027 -> FAILED in 10.5s [llm:0, judge:0]
[14/100] padv_argument_erasure_context_bridge_true_2074_2082_mixed_0014: Equation970028 -> Equation970029 -> FAILED in 4.7s [llm:0, judge:0]
[15/100] padv_argument_erasure_context_bridge_true_674_668_positive_0015: Equation970030 -> Equation970031 -> SOLVED (true) in 25.6s [llm:0, judge:1]
[16/100] padv_argument_erasure_context_bridge_true_674_668_positive_0016: Equation970032 -> Equation970033 -> SOLVED (true) in 21.2s [llm:0, judge:1]
[17/100] padv_argument_erasure_context_bridge_true_674_668_boundary_0017: Equation970034 -> Equation970035 -> SOLVED (true) in 1.4s [llm:0, judge:1]
[18/100] padv_argument_erasure_context_bridge_true_674_668_boundary_0018: Equation970036 -> Equation970037 -> SOLVED (false) in 2.3s [llm:0, judge:1]
[19/100] padv_argument_erasure_context_bridge_true_674_668_boundary_0019: Equation970038 -> Equation970039 -> FAILED in 7.3s [llm:0, judge:0]
[20/100] padv_argument_erasure_context_bridge_true_674_668_boundary_0020: Equation970040 -> Equation970041 -> FAILED in 4.8s [llm:0, judge:0]
[21/100] padv_seed_collapse_contextual_lift_true_2942_5_positive_0021: Equation970042 -> Equation970043 -> SOLVED (true) in 9.9s [llm:0, judge:1]
[22/100] padv_seed_collapse_contextual_lift_true_2942_5_positive_0022: Equation970044 -> Equation970045 -> SOLVED (true) in 9.9s [llm:0, judge:1]
[23/100] padv_seed_collapse_contextual_lift_true_2942_5_positive_0023: Equation970046 -> Equation970047 -> SOLVED (true) in 10.0s [llm:0, judge:1]
[24/100] padv_seed_collapse_contextual_lift_true_2942_5_boundary_0024: Equation970048 -> Equation970049 -> SOLVED (false) in 1.9s [llm:0, judge:1]
[25/100] padv_seed_collapse_contextual_lift_true_2942_5_boundary_0025: Equation970050 -> Equation970051 -> SOLVED (false) in 1.9s [llm:0, judge:1]
[26/100] padv_seed_collapse_contextual_lift_true_2942_5_boundary_0026: Equation970052 -> Equation970053 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[27/100] padv_seed_collapse_contextual_lift_true_2942_5_boundary_0027: Equation970054 -> Equation970055 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[28/100] padv_seed_collapse_contextual_lift_true_2942_5_boundary_0028: Equation970056 -> Equation970057 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[29/100] padv_seed_collapse_contextual_lift_true_2942_5_negative_0029: Equation970058 -> Equation970059 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[30/100] padv_seed_collapse_contextual_lift_true_2942_5_negative_0030: Equation970060 -> Equation970061 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[31/100] padv_seed_collapse_contextual_lift_true_2942_5_negative_0031: Equation970062 -> Equation970063 -> FAILED in 6.2s [llm:0, judge:0]
[32/100] padv_seed_collapse_contextual_lift_true_2942_5_mixed_0032: Equation970064 -> Equation970065 -> SOLVED (false) in 2.0s [llm:0, judge:1]
