Pipeline Runner
  Submission:  submissions/arcf_prover
  Problems:    200
  Config:      timeout=3600s, max_output_tokens=65536
  LLM:         openai/gpt-oss-120b (provider: deepinfra/bf16)
  Output:      /Users/jc/Downloads/LandDesk/equational-theories-lean-stage2/pipeline/results/route_ablation/public_exact_certificates_disabled_sample200.json

[1/200] true_2739_2736: Equation2739 -> Equation2736 -> SOLVED (true) in 3.5s [llm:0, judge:1]
[2/200] true_3268_3253: Equation3268 -> Equation3253 -> SOLVED (true) in 1.8s [llm:0, judge:1]
[3/200] false_1876_1895: Equation1876 -> Equation1895 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[4/200] false_4084_3555: Equation4084 -> Equation3555 -> SOLVED (false) in 2.7s [llm:0, judge:1]
[5/200] false_2699_3474: Equation2699 -> Equation3474 -> SOLVED (false) in 2.6s [llm:0, judge:1]
[6/200] false_430_2263: Equation430 -> Equation2263 -> SOLVED (false) in 2.5s [llm:0, judge:1]
[7/200] false_2327_4629: Equation2327 -> Equation4629 -> SOLVED (false) in 2.7s [llm:0, judge:1]
[8/200] false_3068_4074: Equation3068 -> Equation4074 -> SOLVED (false) in 2.9s [llm:0, judge:1]
[9/200] false_3917_4118: Equation3917 -> Equation4118 -> SOLVED (false) in 2.5s [llm:0, judge:1]
[10/200] false_2917_28: Equation2917 -> Equation28 -> SOLVED (false) in 2.8s [llm:0, judge:1]
[11/200] true_2942_5: Equation2942 -> Equation5 -> FAILED in 13.5s [llm:0, judge:0]
[12/200] true_3108_4642: Equation3108 -> Equation4642 -> SOLVED (true) in 10.1s [llm:0, judge:1]
[13/200] true_193_191: Equation193 -> Equation191 -> SOLVED (true) in 1.9s [llm:0, judge:1]
[14/200] true_4238_4230: Equation4238 -> Equation4230 -> SOLVED (true) in 2.1s [llm:0, judge:1]
[15/200] false_1865_1454: Equation1865 -> Equation1454 -> SOLVED (false) in 2.5s [llm:0, judge:1]
[16/200] false_203_2673: Equation203 -> Equation2673 -> SOLVED (false) in 2.8s [llm:0, judge:1]
[17/200] true_1167_2000: Equation1167 -> Equation2000 -> SOLVED (true) in 5.6s [llm:0, judge:1]
[18/200] false_619_1322: Equation619 -> Equation1322 -> SOLVED (false) in 2.5s [llm:0, judge:1]
[19/200] false_825_167: Equation825 -> Equation167 -> SOLVED (false) in 2.5s [llm:0, judge:1]
